person_name,type,character
Joel Coen,Director,
Ethan Coen,Director,
Joel Coen,Writer,
Ethan Coen,Writer,
Joel Coen,Producer,
Ethan Coen,Producer,
Michael Stuhlbarg,Actor,Larry Gopnik
Richard Kind,Actor,Arthur Gopnik
Fred Melamed,Actor,Sy Ableman
Sari Lennick,Actor,Judith Gopnik
Aaron Wolff,Actor,Danny Gopnik
Jessica McManus,Actor,Sarah Gopnik
Amy Landecker,Actor,Mrs. Vivienne Samsky
Simon Helberg,Actor,Junior Rabbi
George Wyner,Actor,Head Rabbi
Alan Mandell,Actor,Rabbi Emeritus
Adam Arkin,Actor,
Fyvush Finkel,Actor,Groshkover
