person_name,type,character
Wes Anderson,Director,
Wes Anderson,Writer,
Jason Schwartzman,Actor,Augie Steenbeck
Jake Ryan,Actor,Woodrow Steenbeck
Scarlett Johansson,Actor,Midge Campbell
Grace Edwards,Actor,Dinah
Maya Hawke,Actor,June Douglas
Rupert Friend,Actor,Montana
Jeffrey Wright,Actor,General Gibson
Hope Davis,Actor,Sandy Borden
Steve Park,Actor,Roger Cho
Liev Schreiber,Actor,J.J. Kellogg
Edward Norton,Actor,Conrad Earp
Bryan Cranston,Actor,Host
Tom Hanks,Actor,Stanley
Steve Carell,Actor,Motel Manager
Tilda Swinton,Actor,
Adrien Brody,Actor,
Willem Dafoe,Actor,
Matt Dillon,Actor,
Hong Chau,Actor,
Margot Robbie,Actor,
Tony Revolori,Actor,
Jeff Goldblum,Actor,
Bob Balaban,Actor,
Fisher Stevens,Actor,
Seu Jorge,Actor,
Jarvis Cocker,Actor,
Rita Wilson,Actor,
