person_name,type,character
Joel Coen,Director,
Ethan Coen,Director,
Joel Coen,Writer,
Ethan Coen,Writer,
Joel Coen,Producer,
Ethan Coen,Producer,
Josh Brolin,Actor,Eddie Mannix
George Clooney,Actor,Baird Whitlock
Alden Ehrenreich,Actor,Hobie Doyle
Ralph Fiennes,Actor,Laurence Laurentz
Scarlett Johansson,Actor,DeeAnna Moran
Channing Tatum,Actor,Burt Gurney
Tilda Swinton,Actor,Thora & Thessaly Thacker
Frances McDormand,Actor,
Jonah Hill,Actor,
Michael Gambon,Actor,Narrator
Fred Melamed,Actor,
David Krumholtz,Actor,
