person_name,type,character
Paul Thomas Anderson,Director,
Joaquin Phoenix,Actor,Larry "Doc" Sportello
Katherine Waterston,Actor,Shasta Fay Hepworth
Josh Brolin,Actor,Lt. Det. Christian F. "Bigfoot" Bjornsen
Joanna Newsom,Actor,Sortilège
Benicio Del Toro,Actor,Sauncho Smilax Esq.
Owen Wilson,Actor,
Reese Witherspoon,Actor,
Jena Malone,Actor,
Martin Short,Actor,Dr. Rudy Blatnoyd D.D.S.
Maya Rudolph,Actor,Petunia Leeway
Eric Roberts,Actor,Michael Z. Wolfmann
Sasha Pieterse,Actor,Japonica Fenway
Jeannie Berlin,Actor,Aunt Reet
