person_name,type,character
Joel Coen,Director,
Ethan Coen,Director,
Joel Coen,Writer,
Ethan Coen,Writer,
Joel Coen,Producer,
Ethan Coen,Producer,
Oscar Isaac,Actor,Llewyn Davis
Carey Mulligan,Actor,Jean
Justin Timberlake,Actor,Jim
John Goodman,Actor,Roland Turner
Garrett Hedlund,Actor,Johnny Five
Adam Driver,Actor,Al Cody
Stark Sands,Actor,Troy Nelson
F. Murray Abraham,Actor,Bud Grossman
Max Casella,Actor,Pappi Corsicato
Alex Karpovsky,Actor,Marty Green
Ethan Phillips,Actor,Mitch Gorfein
Robin Bartlett,Actor,Lillian Gorfein
