person_name,type,character
Joel Coen,Director,
Joel Coen,Writer,
Ethan Coen,Writer,
Joel Coen,Producer,
Ethan Coen,Producer,
George Clooney,Actor,Miles Massey
Catherine Zeta-Jones,Actor,Marylin Rexroth
Geoffrey Rush,Actor,Donovan Donaly
Cedric the Entertainer,Actor,Gus Petch
Billy Bob Thornton,Actor,Howard D. Doyle
Edward Herrmann,Actor,Rex Rexroth
Richard Jenkins,Actor,Freddy Bender
Paul Adelstein,Actor,Wrigley
Julia Duffy,Actor,Sarah Sorkin
Tom Aldredge,Actor,Herb Myerson
Jonathan Hadary,Actor,Baron Krauss Von Espy
