person_name,type,character
Wes Anderson,Director,
Wes Anderson,Writer,
Bryan Cranston,Actor,Chief
Koyu Rankin,Actor,Atari Kobayashi
Edward Norton,Actor,Rex
Bob Balaban,Actor,King
Jeff Goldblum,Actor,Duke
Bill Murray,Actor,Boss
Liev Schreiber,Actor,Spots
Scarlett Johansson,Actor,Nutmeg
Tilda Swinton,Actor,Oracle
F. Murray Abraham,Actor,Jupiter
Harvey Keitel,Actor,Gondo
Greta Gerwig,Actor,Tracy Walker
Frances McDormand,Actor,Interpreter Nelson
Kunichi Nomura,Actor,Mayor Kobayashi
Courtney B. Vance,Actor,Narrator
Yoko Ono,Actor,
Ken Watanabe,Actor,
