person_name,type,character
Wes Anderson,Director,
Wes Anderson,Writer,
Wes Anderson,Producer
Jared Gilman,Actor,Sam Shakusky
Kara Hayward,Actor,Suzy Bishop
Bruce Willis,Actor,Captain Sharp
Edward Norton,Actor,Scout Master Ward
Bill Murray,Actor,Walt Bishop
Frances McDormand,Actor,Laura Bishop
Tilda Swinton,Actor,Social Services
Jason Schwartzman,Actor,Cousin Ben
Bob Balaban,Actor,The Narrator
Harvey Keitel,Actor,Commander Pierce
Lucas Hedges,Actor,Redford
Larry Pine,Actor,Mr. Billingsley
Eric Chase Anderson,Actor,
