person_name,type,character
Joel Coen,Director,
Joel Coen,Writer,
Ethan Coen,Writer,
Joel Coen,Producer,
Ethan Coen,Producer,
George Clooney,Actor,Ulysses Everett McGill
John Turturro,Actor,Pete Hogwallop
Tim Blake Nelson,Actor,Delmar O'Donnell
Holly Hunter,Actor,Penny Wharvey-McGill
John Goodman,Actor,Big Dan Teague
Charles Durning,Actor,Governor Pappy O'Daniel
Michael Badalucco,Actor,George Nelson
Chris Thomas King,Actor,Tommy Johnson
Stephen Root,Actor,
Wayne Duvall,Actor,
Ray McKinnon,Actor,
