person_name,type,character
Joel Coen,Director,
Joel Coen,Writer,
Ethan Coen,Writer,
Joel Coen,Producer,
Ethan Coen,Producer,
Jeff Bridges,Actor,Jeff 'The Dude' Lebowski
John Goodman,Actor,Walter Sobchak
Julianne Moore,Actor,Maude Lebowski
Steve Buscemi,Actor,Donny
David Huddleston,Actor,The Big Lebowski
Philip Seymour Hoffman,Actor,Brandt
John Turturro,Actor,Jesus Quintana
Tara Reid,Actor,Bunny Lebowski
Sam Elliott,Actor,The Stranger
Peter Stormare,Actor,Uli Kunkel
Jon Polito,Actor,
Ben Gazzara,Actor,
David Thewlis,Actor,
