person_name,type,character
Wes Anderson,Director,
Wes Anderson,Writer,
Bill Murray,Actor,Arthur Howitzer Jr.
Benicio Del Toro,Actor,Moses Rosenthaler
Adrien Brody,Actor,Julian Cadazio
Tilda Swinton,Actor,J.K.L. Berensen
Léa Seydoux,Actor,Simone
Frances McDormand,Actor,Lucinda Krementz
Timothée Chalamet,Actor,Zeffirelli
Lyna Khoudri,Actor,Juliette
Jeffrey Wright,Actor,Roebuck Wright
Mathieu Amalric,Actor,The Commissaire
Steve Park,Actor,Nescaffier
Owen Wilson,Actor,Herbsaint Sazerac
Elisabeth Moss,Actor,Aluma
Jason Schwartzman,Actor,Hermes Jones
Anjelica Huston,Actor,Narrator
Liev Schreiber,Actor,
Edward Norton,Actor,
Willem Dafoe,Actor,
Saoirse Ronan,Actor,
Fisher Stevens,Actor,
Griffin Dunne,Actor,
Wallace Wolodarsky,Actor,
