person_name,type,character
Wes Anderson,Director,
Wes Anderson,Writer,
Ralph Fiennes,Actor,M. Gustave H.
Tony Revolori,Actor,Zero Moustafa
F. Murray Abraham,Actor,Mr. Moustafa
Saoirse Ronan,Actor,Agatha
Tilda Swinton,Actor,Madame D.
Adrien Brody,Actor,Dmitri
Willem Dafoe,Actor,Jopling
Jeff Goldblum,Actor,Deputy Kovacs
Harvey Keitel,Actor,Ludwig
Jude Law,Actor,Young Writer
Edward Norton,Actor,Albert Henckels
Mathieu Amalric,Actor,Serge X.
Léa Seydoux,Actor,Clotilde
Jason Schwartzman,Actor,M. Jean
Owen Wilson,Actor,M. Chuck
Bill Murray,Actor,M. Ivan
Bob Balaban,Actor,M. Martin
Waris Ahluwalia,Actor,M. Dino
Tom Wilkinson,Actor,Author
