person_name,type,character
Wes Anderson,Director,
Wes Anderson,Writer,
Wes Anderson,Producer
Noah Baumbach,Writer,
Bill Murray,Actor,Steve Zissou
Owen Wilson,Actor,Ned Plimpton
Cate Blanchett,Actor,Jane Winslett-Richardson
Anjelica Huston,Actor,Eleanor Zissou
Willem Dafoe,Actor,Klaus Daimler
Jeff Goldblum,Actor,Alistair Hennessey
Michael Gambon,Actor,Oseary Drakoulias
Noah Taylor,Actor,Vladimir Wolodarsky
Bud Cort,Actor,Bill Ubell
Seu Jorge,Actor,Pelé dos Santos
Robyn Cohen,Actor,Anne-Marie Sakowitz
Waris Ahluwalia,Actor,Vikram Ray
Seymour Cassel,Actor,Esteban du Plantier
Matthew Gray Gubler,Actor,Intern #1
