person_name,type,character
Wes Anderson,Director,
Benicio Del Toro,Actor,Zsa-zsa Korda
Mia Threapleton,Actor,Liesl
Michael Cera,Actor,Bjorn
Riz Ahmed,Actor,Prince Farouk
Tom Hanks,Actor,Leland
Bryan Cranston,Actor,Reagan
Mathieu Amalric,Actor,Marseille Bob
Richard Ayoade,Actor,Sergio
Jeffrey Wright,Actor,Marty
Scarlett Johansson,Actor,Cousin Hilda
Benedict Cumberbatch,Actor,Uncle Nubar
Rupert Friend,Actor,
Hope Davis,Actor,
F. Murray Abraham,Actor,
Charlotte Gainsbourg,Actor,
Willem Dafoe,Actor,
Bill Murray,Actor,
