person_name,type,character
Wes Anderson,Director,
Wes Anderson,Writer,
Wes Anderson,Producer
Wes Anderson,Actor,Tennis Match Commentator #1 (voice) (uncredited)
Gene Hackman,Actor,Royal Tenenbaum
Anjelica Huston,Actor,Etheline Tenenbaum
Ben Stiller,Actor,Chas Tenenbaum
Gwyneth Paltrow,Actor,Margot Tenenbaum
Luke Wilson,Actor,Richie Tenenbaum
Owen Wilson,Actor,Eli Cash
Bill Murray,Actor,Raleigh St. Clair
Danny Glover,Actor,Henry Sherman
Kumar Pallana,Actor,Pagoda
Seymour Cassel,Actor,Dusty
Grant Rosenmeyer,Actor,Ari Tenenbaum
Jonah Meyerson,Actor,Uzi Tenenbaum
Stephen Lea Sheppard,Actor,Dudley Heinsbergen
Larry Pine,Actor,Peter Bradley
Andrew Wilson,Actor,Royal's Lawyer
Alec Baldwin,Actor,Narrator
